phase,model,point,horizon,n,crps,coverage90,width90,interval_score90,mae,rmse,pooled_rmse
development,B_ANCHOR,ATU1,30,347,4.63812687176,1,41.9956921833,41.9956921833,5.33662388716,7.42004945046,7.42004945046
development,B_ANCHOR,ATU5,30,347,6.20708882856,0.92507204611,63.0546646769,67.9656083988,5.6842389957,9.17556187161,9.17556187161
development,B_ANCHOR,MJ3,30,347,7.32705530045,0.829971181556,34.62170764,102.008088701,8.21518458524,14.0171518023,14.0171518023
development,B_ANCHOR,MJ1,30,347,5.30920973893,0.815561959654,23.5236808016,60.3854886188,7.106429535,9.4767221235,9.4767221235
development,B_RAW,ATU1,30,347,,,,,38.6683786661,41.9574384747,41.9574384747
development,B_RAW,ATU5,30,347,,,,,46.9884225384,50.4963955359,50.4963955359
development,B_RAW,MJ3,30,347,,,,,22.2314979905,37.8667222226,37.8667222226
development,B_RAW,MJ1,30,347,,,,,35.5565895353,41.8891126045,41.8891126045
development,B_TREND14,ATU1,30,347,5.88121181157,0.962536023055,57.7307801426,63.5330391733,5.46005607672,9.62717280784,9.62717280784
development,B_TREND14,ATU5,30,347,7.37907634679,0.913544668588,65.8666444179,86.2962688042,6.1480830631,12.1747939851,12.1747939851
development,B_TREND14,MJ3,30,347,4.3464244455,0.876080691643,19.6891715977,58.4353001003,5.2290461508,8.86467509641,8.86467509641
development,B_TREND14,MJ1,30,347,2.5010457568,0.887608069164,15.7641063664,31.2826876973,3.00100188926,4.35899767163,4.35899767163
development,C4_RIDGE_DATA,ATU1,30,347,0.375083249795,0.893371757925,2.35454469671,3.37748583434,0.5149259395,0.636037375565,0.636037375565
development,C4_RIDGE_DATA,ATU5,30,347,0.348062311015,0.887608069164,2.61672296189,3.47603338444,0.447041468128,0.563279129317,0.563279129317
development,C4_RIDGE_DATA,MJ3,30,347,0.277103646206,0.838616714697,2.13390647784,2.86023300773,0.298602351566,0.397960336409,0.397960336409
development,C4_RIDGE_DATA,MJ1,30,347,0.355459864447,0.864553314121,2.43030227162,3.48496341936,0.426934742159,0.611326277452,0.611326277452
development,C4_RIDGE_FULL,ATU1,30,347,0.415677173331,0.893371757925,2.7225666036,3.67684567504,0.570984674899,0.720300056888,0.720300056888
development,C4_RIDGE_FULL,ATU5,30,347,1.24111834269,0.870317002882,8.70529813816,15.9248358045,1.13852802874,2.55902861693,2.55902861693
development,C4_RIDGE_FULL,MJ3,30,347,0.360711418979,0.835734870317,2.56362246805,3.77104278956,0.417422424634,0.530448705703,0.530448705703
development,C4_RIDGE_FULL,MJ1,30,347,0.365541520148,0.870317002882,2.424464992,3.42487805616,0.459262590015,0.632263477174,0.632263477174
development,DRIFT1,ATU1,30,347,3.19528470609,1,43.4420615591,43.4420615591,1.2827751578,1.61096539217,1.61096539217
development,DRIFT1,ATU5,30,347,2.44040883043,1,33.2530718098,33.2530718098,0.911285953935,1.18083816516,1.18083816516
development,DRIFT1,MJ3,30,347,0.647939466706,0.988472622478,6.24931260999,6.25498340203,0.739241749289,0.982369128505,0.982369128505
development,DRIFT1,MJ1,30,347,0.835692681216,0.847262247839,6.14147751359,9.17294589839,0.918386054332,1.33745158104,1.33745158104
development,DRIFT14,ATU1,30,347,4.04555223159,1,54.9939307039,54.9939307039,1.62861611589,2.03402983699,2.03402983699
development,DRIFT14,ATU5,30,347,3.10112980763,1,42.1155015192,42.1155015192,1.17828012603,1.5557496848,1.5557496848
development,DRIFT14,MJ3,30,347,0.861982421451,1,8.13885006729,8.13885006729,1.00270811779,1.33604136976,1.33604136976
development,DRIFT14,MJ1,30,347,1.10465004664,0.841498559078,8.13510470054,12.0748107146,1.20564667024,1.77163771382,1.77163771382
development,DRIFT3,ATU1,30,347,3.35600020914,1,45.6258292013,45.6258292013,1.34784765277,1.69141727603,1.69141727603
development,DRIFT3,ATU5,30,347,2.56408922236,1,34.9255881396,34.9255881396,0.959052909059,1.24558361143,1.24558361143
development,DRIFT3,MJ3,30,347,0.685370011946,0.988472622478,6.60428710331,6.60830280708,0.78302309742,1.04107338229,1.04107338229
development,DRIFT3,MJ1,30,347,0.881435734061,0.847262247839,6.46618717201,9.67552131755,0.969356903552,1.41246362229,1.41246362229
development,DRIFT30,ATU1,30,347,4.43640875294,1,60.3159379881,60.3159379881,1.78546131447,2.21128205456,2.21128205456
development,DRIFT30,ATU5,30,347,3.4377911559,1,46.330301077,46.330301077,1.37566833278,1.86158363149,1.86158363149
development,DRIFT30,MJ3,30,347,1.05758904403,1,9.89519240151,9.89519240151,1.26142191263,1.66000909306,1.66000909306
development,DRIFT30,MJ1,30,347,1.32600652293,0.835734870317,9.69518917933,14.2917818341,1.42284927154,2.12923119747,2.12923119747
development,DRIFT7,ATU1,30,347,3.64610593637,1,49.5672994146,49.5672994146,1.4654124599,1.83629599852,1.83629599852
development,DRIFT7,ATU5,30,347,2.78831354518,1,37.9461681897,37.9461681897,1.04729304742,1.36766562498,1.36766562498
